,Entry_Date,Exit_Date,Type,Entry_Price,Exit_Price,Shares,Cost,Result,Profit,Return_Pct
0,2025-02-28 07:00:00,2025-02-28 09:30:00,long,128.06,131.54000000000002,1.9424974145359413,250.0,take_profit,4.238529358517468,1.695411743406987
1,2025-02-28 09:15:00,2025-02-28 09:30:00,short,131.24,131.74,1.4215724183107625,187.49999999999997,stop_loss,-0.7143401402011875,-0.3809814081073001
2,2025-02-28 09:45:00,2025-02-28 10:15:00,short,132.51,131.69,1.883879578070549,250.88104730457906,take_profit,1.55250516028795,0.6188212210399258
3,2025-02-28 11:45:00,2025-02-28 13:00:00,short,133.81,134.57,1.8684633301220603,251.26917359465102,stop_loss,-1.427132291547224,-0.5679695090053039
4,2025-02-28 12:00:00,2025-02-28 13:00:00,short,133.45,134.23,1.405127828045895,188.45188019598828,stop_loss,-1.1014797044051647,-0.5844885724990568
5,2025-02-28 13:00:00,2025-02-28 13:45:00,short,135.34,137.18,1.8426929972250683,250.63702059566293,stop_loss,-3.407507890468594,-1.3595389389685228
6,2025-02-28 13:15:00,2025-02-28 14:15:00,short,137.14,139.13,1.363880360823469,187.97776544674718,stop_loss,-2.727692527628875,-1.451071897331183
7,2025-02-28 13:30:00,2025-02-28 14:15:00,short,136.92,137.95,1.0245538600094795,140.9833240850604,stop_loss,-1.0605669281888197,-0.7522640958223832
8,2025-02-28 13:45:00,2025-02-28 14:15:00,short,137.72,139.83,1.210509110272728,167.54487124009387,stop_loss,-2.5669450937888314,-1.5320941039790872
9,2025-02-28 22:45:00,2025-02-28 23:30:00,short,146.73,147.17,0.7100585940069374,104.7078319861311,stop_loss,-0.3139879102698586,-0.299870510461383
10,2025-02-28 22:30:00,2025-02-28 23:45:00,short,146.57,147.61,0.9477782856759038,139.6104426481748,stop_loss,-0.9906178641884935,-0.7095585726956682
11,2025-02-28 23:30:00,2025-03-01 00:00:00,short,147.36,147.96000000000004,0.7064928817406158,104.62933500856363,stop_loss,-0.426015207689602,-0.4071661237785118
12,2025-02-28 23:45:00,2025-03-01 00:45:00,short,147.95,146.73000000000002,0.7608255273306956,113.12695745241929,take_profit,0.9328481790601444,0.8246029063872741
13,2025-03-01 00:00:00,2025-03-01 00:45:00,short,148.24,147.12,0.7443626983776006,110.89604803953299,take_profit,0.8378546532938174,0.7555315704263268
14,2025-02-28 22:15:00,2025-03-01 01:00:00,short,147.61,146.19,1.254800834013208,186.14725686423307,take_profit,1.7907262702202615,0.9619944448208182
15,2025-02-28 14:15:00,2025-03-01 02:00:00,short,142.9,149.91,1.728212279997104,248.19634248564407,stop_loss,-12.1753419231936,-4.9055283414975515
16,2025-03-01 04:30:00,2025-03-01 04:45:00,long,146.37,146.20000000000002,1.6696609120480284,245.61020903495222,stop_loss,-2.7263058202375703,-1.1100132323284642
17,2025-03-01 04:45:00,2025-03-01 05:30:00,long,146.16,145.60999999999999,1.6674198287428001,244.92863257989288,stop_loss,-3.3495963229699726,-1.3675805428250098
18,2025-03-01 05:45:00,2025-03-01 06:15:00,long,145.0,144.53,1.675012753468179,244.09123349915035,stop_loss,-3.2120882066882075,-1.3159375536112354
19,2025-03-01 10:45:00,2025-03-01 11:15:00,long,140.79,139.73999999999998,1.7194248336941498,243.28821144747832,stop_loss,-4.217147318359963,-1.7333956681540124
20,2025-03-01 11:00:00,2025-03-01 11:15:00,long,140.71,140.27,1.290301803367561,182.46615858560875,stop_loss,-2.380477797032796,-1.304613313222097
21,2025-03-01 11:45:00,2025-03-01 13:30:00,long,140.61,140.12,1.2824654472921828,181.2291038764726,stop_loss,-2.4285406942648535,-1.3400390126743489
22,2025-03-01 13:15:00,2025-03-01 13:45:00,long,140.37,139.28,0.963493623337005,135.92182790735444,stop_loss,-2.3974130082682734,-1.7638175156843623
23,2025-03-01 13:45:00,2025-03-01 14:45:00,long,139.07,140.26999999999998,1.2880346627460908,180.0226154508393,take_profit,-0.2533564181621557,-0.1407358833931298
24,2025-03-01 14:00:00,2025-03-01 16:15:00,long,139.28,140.68000000000004,0.9645694673397051,135.01696158812948,take_profit,0.00019291389349973542,0.00014288122857350404
25,2025-03-01 11:15:00,2025-03-01 22:00:00,long,139.68,141.74,1.721338932261873,241.63880516863009,take_profit,1.1238621888738294,0.4651000438814166
26,2025-03-01 22:45:00,2025-03-01 23:45:00,short,142.14,142.86999999999998,0.9476020780469284,135.36562017045833,stop_loss,-0.6952082645591133,-0.5135781623751117
27,2025-03-01 22:15:00,2025-03-02 00:00:00,short,142.79,143.62,1.676957264341143,240.64999141414813,stop_loss,-1.3988339020501712,-0.5812731984032524
28,2025-03-01 22:30:00,2025-03-02 00:00:00,short,142.31,143.1,1.2619601281108412,180.48749356061106,stop_loss,-1.0019332437136086,-0.5551261330897372
29,2025-03-01 23:45:00,2025-03-02 00:00:00,short,142.96,143.61,0.9409570648737186,135.19181810431854,stop_loss,-0.6146802026287617,-0.45467263570229804
