,timestamp,Portfolio_Value,Budget,Active_Positions,Peak,Drawdown
0,2025-02-27 19:15:00,1000.0,1000.0,0,1000.0,0.0
1,2025-02-27 19:30:00,1000.0,1000.0,0,1000.0,0.0
2,2025-02-27 19:45:00,1000.0,1000.0,0,1000.0,0.0
3,2025-02-27 20:00:00,1000.0,1000.0,0,1000.0,0.0
4,2025-02-27 20:15:00,1000.0,1000.0,0,1000.0,0.0
5,2025-02-27 20:30:00,1000.0,1000.0,0,1000.0,0.0
6,2025-02-27 20:45:00,1000.0,1000.0,0,1000.0,0.0
7,2025-02-27 21:00:00,1000.0,1000.0,0,1000.0,0.0
8,2025-02-27 21:15:00,1000.0,1000.0,0,1000.0,0.0
9,2025-02-27 21:30:00,1000.0,1000.0,0,1000.0,0.0
10,2025-02-27 21:45:00,1000.0,1000.0,0,1000.0,0.0
11,2025-02-27 22:00:00,1000.0,1000.0,0,1000.0,0.0
12,2025-02-27 22:15:00,1000.0,1000.0,0,1000.0,0.0
13,2025-02-27 22:30:00,1000.0,1000.0,0,1000.0,0.0
14,2025-02-27 22:45:00,1000.0,1000.0,0,1000.0,0.0
15,2025-02-27 23:00:00,1000.0,1000.0,0,1000.0,0.0
16,2025-02-27 23:15:00,1000.0,1000.0,0,1000.0,0.0
17,2025-02-27 23:30:00,1000.0,1000.0,0,1000.0,0.0
18,2025-02-27 23:45:00,1000.0,1000.0,0,1000.0,0.0
19,2025-02-28 00:00:00,1000.0,1000.0,0,1000.0,0.0
20,2025-02-28 00:15:00,1000.0,1000.0,0,1000.0,0.0
21,2025-02-28 00:30:00,1000.0,1000.0,0,1000.0,0.0
22,2025-02-28 00:45:00,1000.0,1000.0,0,1000.0,0.0
23,2025-02-28 01:00:00,1000.0,1000.0,0,1000.0,0.0
24,2025-02-28 01:15:00,1000.0,1000.0,0,1000.0,0.0
25,2025-02-28 01:30:00,1000.0,1000.0,0,1000.0,0.0
26,2025-02-28 01:45:00,1000.0,1000.0,0,1000.0,0.0
27,2025-02-28 02:00:00,1000.0,1000.0,0,1000.0,0.0
28,2025-02-28 02:15:00,1000.0,1000.0,0,1000.0,0.0
29,2025-02-28 02:30:00,1000.0,1000.0,0,1000.0,0.0
30,2025-02-28 02:45:00,1000.0,1000.0,0,1000.0,0.0
31,2025-02-28 03:00:00,1000.0,1000.0,0,1000.0,0.0
32,2025-02-28 03:15:00,1000.0,1000.0,0,1000.0,0.0
33,2025-02-28 03:30:00,1000.0,1000.0,0,1000.0,0.0
34,2025-02-28 03:45:00,1000.0,1000.0,0,1000.0,0.0
35,2025-02-28 04:00:00,1000.0,1000.0,0,1000.0,0.0
36,2025-02-28 04:15:00,1000.0,1000.0,0,1000.0,0.0
37,2025-02-28 04:30:00,1000.0,1000.0,0,1000.0,0.0
38,2025-02-28 04:45:00,1000.0,1000.0,0,1000.0,0.0
39,2025-02-28 05:00:00,1000.0,1000.0,0,1000.0,0.0
40,2025-02-28 05:15:00,1000.0,1000.0,0,1000.0,0.0
41,2025-02-28 05:30:00,1000.0,1000.0,0,1000.0,0.0
42,2025-02-28 05:45:00,1000.0,1000.0,0,1000.0,0.0
43,2025-02-28 06:00:00,1000.0,1000.0,0,1000.0,0.0
44,2025-02-28 06:15:00,1000.0,1000.0,0,1000.0,0.0
45,2025-02-28 06:30:00,1000.0,1000.0,0,1000.0,0.0
46,2025-02-28 06:45:00,1000.0,1000.0,0,1000.0,0.0
47,2025-02-28 07:00:00,1000.0,1000.0,0,1000.0,0.0
48,2025-02-28 07:15:00,998.7562189054727,750.0,1,1000.0,-0.12437810945272743
49,2025-02-28 07:30:00,999.9799922766302,750.0,1,1000.0,-0.002000772336974155
50,2025-02-28 07:45:00,998.2511695776933,750.0,1,1000.0,-0.17488304223066686
51,2025-02-28 08:00:00,998.6785190088913,750.0,1,1000.0,-0.13214809911087366
52,2025-02-28 08:15:00,999.1835683366705,750.0,1,1000.0,-0.08164316633294533
53,2025-02-28 08:30:00,998.775643879618,750.0,1,1000.0,-0.12243561203820752
54,2025-02-28 08:45:00,1002.3304141482188,750.0,1,1002.3304141482188,0.0
55,2025-02-28 09:00:00,1001.4368653375323,750.0,1,1002.3304141482188,-0.08914713133252317
56,2025-02-28 09:15:00,1004.4283113559176,750.0,1,1004.4283113559176,0.0
57,2025-02-28 09:30:00,1004.933360683697,562.5,2,1004.933360683697,0.0
58,2025-02-28 09:45:00,1003.5241892183162,1003.5241892183162,0,1004.933360683697,-0.140225364239277
59,2025-02-28 10:00:00,1003.5241892183162,752.6431419137372,1,1004.933360683697,-0.140225364239277
60,2025-02-28 10:15:00,1003.5053504225355,752.6431419137372,1,1004.933360683697,-0.14209999558477682
61,2025-02-28 10:30:00,1005.0766943786042,1005.0766943786042,0,1005.0766943786042,0.0
62,2025-02-28 10:45:00,1005.0766943786042,1005.0766943786042,0,1005.0766943786042,0.0
63,2025-02-28 11:00:00,1005.0766943786042,1005.0766943786042,0,1005.0766943786042,0.0
64,2025-02-28 11:15:00,1005.0766943786042,1005.0766943786042,0,1005.0766943786042,0.0
65,2025-02-28 11:30:00,1005.0766943786042,1005.0766943786042,0,1005.0766943786042,0.0
66,2025-02-28 11:45:00,1005.0766943786042,1005.0766943786042,0,1005.0766943786042,0.0
67,2025-02-28 12:00:00,1005.0766943786041,753.8075207839531,1,1005.0766943786042,-1.1102230246251565e-14
68,2025-02-28 12:15:00,1005.7493411774482,565.3556405879649,2,1005.7493411774482,0.0
69,2025-02-28 12:30:00,1006.2076439395917,565.3556405879649,2,1006.2076439395917,0.0
70,2025-02-28 12:45:00,1006.5677389669902,565.3556405879649,2,1006.5677389669902,0.0
71,2025-02-28 13:00:00,1005.5856616195397,565.3556405879649,2,1006.5677389669902,-0.09756694054772197
72,2025-02-28 13:15:00,1002.5480823826517,751.9110617869887,1,1006.5677389669902,-0.39934287864855644
73,2025-02-28 13:30:00,999.2312349876465,563.9332963402416,2,1006.5677389669902,-0.7288634132932681
74,2025-02-28 13:45:00,999.9366811264173,422.94997225518114,3,1006.5677389669902,-0.6587790949249106
75,2025-02-28 14:00:00,997.5298807948978,502.6346137202816,3,1006.5677389669902,-0.8978887184848183
76,2025-02-28 14:15:00,997.026028728543,502.6346137202816,3,1006.5677389669902,-0.9479451674300199
77,2025-02-28 14:30:00,992.7853699425764,744.5890274569323,1,1006.5677389669902,-1.3692440648414017
78,2025-02-28 14:45:00,989.8128448209814,744.5890274569323,1,1006.5677389669902,-1.6645570384764996
79,2025-02-28 15:00:00,988.3611465057837,744.5890274569323,1,1006.5677389669902,-1.8087796535076084
80,2025-02-28 15:15:00,990.4177191189804,744.5890274569323,1,1006.5677389669902,-1.6044642822135469
81,2025-02-28 15:30:00,989.3289453825821,744.5890274569323,1,1006.5677389669902,-1.712631243486873
82,2025-02-28 15:45:00,986.0453420505876,744.5890274569323,1,1006.5677389669902,-2.0388490632000655
83,2025-02-28 16:00:00,988.4129928741837,744.5890274569323,1,1006.5677389669902,-1.8036288458279204
84,2025-02-28 16:15:00,988.6203783477833,744.5890274569323,1,1006.5677389669902,-1.7830256151091906
85,2025-02-28 16:30:00,989.9511018033811,744.5890274569323,1,1006.5677389669902,-1.6508215513306834
86,2025-02-28 16:45:00,989.8819733121812,744.5890274569323,1,1006.5677389669902,-1.657689294903597
87,2025-02-28 17:00:00,987.0131409273861,744.5890274569323,1,1006.5677389669902,-1.94270065317933
88,2025-02-28 17:15:00,988.7586353301831,744.5890274569323,1,1006.5677389669902,-1.7692901279633744
89,2025-02-28 17:30:00,987.5661688569851,744.5890274569323,1,1006.5677389669902,-1.8877587045960653
90,2025-02-28 17:45:00,987.7389900849848,744.5890274569323,1,1006.5677389669902,-1.8705893456637868
91,2025-02-28 18:00:00,990.5732582241801,744.5890274569323,1,1006.5677389669902,-1.589011859174494
92,2025-02-28 18:15:00,990.5386939785801,744.5890274569323,1,1006.5677389669902,-1.5924457309609563
93,2025-02-28 18:30:00,987.9290934357845,744.5890274569323,1,1006.5677389669902,-1.8517030508382826
94,2025-02-28 18:45:00,989.2079705229824,744.5890274569323,1,1006.5677389669902,-1.7246497947394634
95,2025-02-28 19:00:00,986.8230375765863,744.5890274569323,1,1006.5677389669902,-1.9615869480048342
96,2025-02-28 19:15:00,987.2550906465856,744.5890274569323,1,1006.5677389669902,-1.918663550674149
97,2025-02-28 19:30:00,987.2378085237856,744.5890274569323,1,1006.5677389669902,-1.9203804865673857
